ID,Province/Cities,Home or abroad,Status,Main Classification,Applicant
12,Beijing,Mainland of China,valid,A61K31,中国人民解放军疾病预防控制所
21,Jiangsu,Mainland of China,In Review,A61K31,江苏吴中医药集团有限公司苏州制药厂
22,Jiangsu,Mainland of China,In Review,C07D207,江苏吴中医药集团有限公司苏州制药厂
23,Hebei,Mainland of China,valid,A61K31,石药集团中奇制药技术（石家庄）有限公司
24,Hebei,Mainland of China,valid,A61K31,石药集团中奇制药技术（石家庄）有限公司
25,Hubei,Mainland of China,valid,A61K31,湖北丽益医药科技有限公司
26,Liaoning,Mainland of China,valid,C07D209,大连理工大学
27,Guangdong,Mainland of China,In Review,A61K47,广州市妇女儿童医疗中心
28,Guangdong,Mainland of China,In Review,A61K33,广州市妇女儿童医疗中心
29,Shanghai,Mainland of China,In Review,C07D405,中国科学院上海药物研究所
33,Shanghai,Mainland of China,valid,C07D417,中国科学院上海药物研究所
34,Zhejiang,Mainland of China,valid,C07H19,浙江医药股份有限公司新昌制药厂
35,Guangdong,Mainland of China,In Review,C07H19,中国科学院广州生物医药与健康研究院
36,Guangdong,Mainland of China,valid,A61K31,广州和竺生物科技有限公司
37,Jiangsu,Mainland of China,valid,A61K31,中国药科大学
40,Hebei,Mainland of China,invalid,A61K31,石药集团中奇制药技术（石家庄）有限公司
41,Jilin,Mainland of China,invalid,A61K31,吉林省吴太感康药业有限公司
42,Hubei,Mainland of China,invalid,C07D209,湖北丽益医药科技有限公司
43,Guangdong,Mainland of China,invalid,A61K31,广州医科大学附属第一医院
44,Liaoning,Mainland of China,invalid,A61K31,沈阳中海生物技术开发有限公司
45,Liaoning,Mainland of China,invalid,A61K31,沈阳中海生物技术开发有限公司
46,Hubei,Mainland of China,invalid,A61K9,华中科技大学
47,Liaoning,Mainland of China,invalid,A61K31,沈阳药科大学
48,Shanghai,Mainland of China,invalid,A61K9,上海兴康医药研究开发有限公司
49,Jilin,Mainland of China,invalid,A61K33,东北师范大学
50,Fujian,Mainland of China,invalid,A61K31,福建广生堂药业股份有限公司
51,Fujian,Mainland of China,invalid,A61K31,福建广生堂药业股份有限公司
52,Hebei,Mainland of China,invalid,A61K31,石家庄中硕药业集团有限公司
53,Beijing,Mainland of China,In Review,A61K31,北京万全德众医药生物技术有限公司
54,Shanghai,Mainland of China,valid,A61K31,上海星泰医药科技有限公司
61,Chongqing,Mainland of China,valid,C07D317,重庆圣华曦药业股份有限公司
62,Liaoning,Mainland of China,valid,C07D 277,东北制药集团股份有限公司
63,Liaoning,Mainland of China,valid,C07D277,东北制药集团股份有限公司
64,Fujian,Mainland of China,valid,C07D277,厦门大学
65,Beijing,Mainland of China,In Review,C07D421,中国科学院生态环境研究中心
67,Guangdong,Mainland of China,valid,C07D405,中国科学院广州生物医药与健康研究院
68,Liaoning,Mainland of China,valid,C07D401,沈阳亿灵医药科技有限公司
69,Liaoning,Mainland of China,valid,C07D 213,东北制药集团股份有限公司
74,Shanghai,Mainland of China,valid,C07D213,上海威智医药科技有限公司
75,Heilongjiang,Mainland of China,invalid,A61K31,黑龙江福和华星制药集团股份有限公司
77,Shanghai,Mainland of China,invalid,C07D211,上海安基生物科技股份有限公司
83,Fujian,Mainland of China,invalid,C07D417,厦门大学
89,Shanghai,Mainland of China,invalid,C07D213,上海威智医药科技有限公司
90,Shanghai,Mainland of China,invalid,C07D213,上海威智医药科技有限公司
91,Shanghai,Mainland of China,invalid,C07D213,中国科学院上海药物研究所
98,Shandong,Mainland of China,invalid,A61K31,日照市普达医药科技有限公司
99,Shandong,Mainland of China,invalid,A61K31,山东威智医药工业有限公司
104,Guangdong,Mainland of China,valid,C07C279,广东东阳光药业有限公司
105,Liaoning,Mainland of China,In Review,C07C237,沈阳药科大学
106,Guangdong,Mainland of China,valid,C07C233,广东东阳光药业有限公司
107,Guangdong,Mainland of China,valid,C07C233,广东东阳光药业有限公司
109,Jiangsu,Mainland of China,valid,C07C279,中国药科大学
112,Zhejiang,Mainland of China,valid,C07D303,浙江海正药业股份有限公司
113,Hunan,Mainland of China,valid,C07D277,湖南大学
114,Jilin,Mainland of China,valid,A61K31,吉林大学
115,Jiangxi,Mainland of China,valid,A61K31,江西山香药业有限公司
116,Jiangxi,Mainland of China,valid,C07H17,江西山香药业有限公司
117,Jiangxi,Mainland of China,valid,A61K31,江西山香药业有限公司
118,Jiangxi,Mainland of China,valid,C07H17,江西山香药业有限公司
119,Jiangxi,Mainland of China,valid,C07H17,江西山香药业有限公司
120,Jiangxi,Mainland of China,valid,A61K31,江西山香药业有限公司
121,Jiangxi,Mainland of China,valid,A61K31,江西山香药业有限公司
122,Beijing,Mainland of China,In Review,C07D311,中国人民解放军第三Ｏ二医院
123,Beijing,Mainland of China,In Review,C07D311,中国人民解放军第三Ｏ二医院
125,Jiangsu,Mainland of China,invalid,C07C233,中国药科大学
126,Zhejiang,Mainland of China,invalid,C07C231,浙江师范大学
129,Shanghai,Mainland of China,invalid,C07D309,中国科学院上海药物研究所
130,Jiangsu,Mainland of China,invalid,C07D207,中国药科大学
131,Guangdong,Mainland of China,invalid,C07D309,中国科学院广州生物医药与健康研究院
132,Hunan,Mainland of China,invalid,A61K31,长沙理工大学
133,Hunan,Mainland of China,invalid,C07D417,湖南大学
134,Hunan,Mainland of China,invalid,C07D417,湖南大学
135,Hunan,Mainland of China,invalid,A61K31,长沙理工大学
136,Hunan,Mainland of China,invalid,A61K31,湖南大学
137,Tianjin,Mainland of China,invalid,C07D309,南开大学
138,Beijing,Mainland of China,invalid,A61K31,中国医学科学院药物研究所
142,Hunan,Mainland of China,invalid,A61K31,湖南大学
143,Shanghai,Mainland of China,invalid,C07D309,中国科学院上海药物研究所
144,Hunan,Mainland of China,invalid,C07D279,湖南大学
145,Hongkong,China Special Administrative Region,invalid,A61K31,香港大学
146,Shanghai,Mainland of China,invalid,C07D309,中国科学院上海药物研究所
147,Guangdong,Mainland of China,invalid,C07C233,北京大学深圳研究生院
148,Guangdong,Mainland of China,invalid,C07D309,中国科学院广州生物医药与健康研究院
149,Guangdong,Mainland of China,invalid,C07D309,中国科学院广州生物医药与健康研究院
150,Beijing,Mainland of China,invalid,C07D309,中国医学科学院医药生物技术研究所
155,Shanghai,Mainland of China,invalid,A61K31,上海交通大学医学院附属仁济医院
157,Jiangsu,Mainland of China,invalid,A61K31,江苏先声药物研究有限公司
158,Jiangsu,Mainland of China,invalid,A61K9,中国药科大学
159,Hunan,Mainland of China,invalid,A61K31,长沙理工大学
160,Jiangxi,Mainland of China,invalid,A61K31,江西山香药业有限公司
161,Jiangxi,Mainland of China,invalid,C07H17,江西山香药业有限公司
162,Jiangxi,Mainland of China,invalid,A61K31,江西山香药业有限公司
163,Jiangsu,Mainland of China,invalid,A61K9,中国药科大学
164,Henan,Mainland of China,invalid,A61K9,河南中帅医药科技股份有限公司
165,Jilin,Mainland of China,invalid,A61K31,吉林省帝医生物科技有限公司
166,Jilin,Mainland of China,invalid,A61K31,吉林大学
167,Hunan,Mainland of China,valid,C07D417,湖南大学
168,Hunan,Mainland of China,valid,C07D417,湖南大学
169,Guangdong,Mainland of China,valid,C07F9,中山大学
170,Guangdong,Mainland of China,valid,C07D211,广州市恒诺康医药科技有限公司
171,Hunan,Mainland of China,valid,C07D401,湖南大学
172,Hunan,Mainland of China,valid,C07D277,湖南大学
173,Hunan,Mainland of China,valid,C07D277,湖南大学
174,Hunan,Mainland of China,valid,C07D 417,长沙理工大学
175,Hunan,Mainland of China,valid,C07D 277,长沙理工大学
176,Chongqing,Mainland of China,valid,C07D 207,重庆医科大学
177,Hunan,Mainland of China,valid,C07D307,湖南大学
178,Hunan,Mainland of China,valid,C07D307,湖南大学
179,Hunan,Mainland of China,valid,C07D493,湖南大学
180,Hunan,Mainland of China,valid,C07D277,湖南大学
181,Hunan,Mainland of China,valid,C07C49,湖南大学
182,Hunan,Mainland of China,valid,C07D277,湖南大学
183,Hunan,Mainland of China,valid,C07D277,湖南大学
184,Zhejiang,Mainland of China,valid,C07D407,宁波工程学院
185,Hubei,Mainland of China,valid,C07D401,三峡大学
186,Hubei,Mainland of China,valid,C07D213,三峡大学
